% sample_size mean_accuracy std_accuracy
3 73.20197044334974 2.5329970703807767
6 74.58128078817734 2.009465818164643
12 76.20689655172413 1.1244051438929394
24 76.50246305418719 1.1026122800787912
48 76.50246305418719 0.7323186575033707
72 76.45320197044335 0.42944817177740596
96 76.84729064039409 0.9083295031815677
120 76.45320197044335 0.3686361957412722
